State;Density;Estimate 2024;Population 2010;;;;;
Acre;5.05;3 220 104;3 120 494;;;;;
Alagoas;112.24;802 837;669 526;;;;;
Amapá;5.43;4 281 209;3 483 985;;;;;
Amazonas;2.53;14 850 513;14 016 906;;;;;
Bahia;25.96;9 233 656;8 452 381;;;;;
Ceará;60.02;2 982 815;2 570 160;;;;;
Distrito Federal;507.46;4 102 129;3 514 952;;;;;
Espírito Santo;86.27;7 350 483;6 003 788;;;;;
Goiás;20.44;7 010 960;6 574 789;;;;;
Maranhão;20.63;3 836 399;3 035 122;;;;;
Mato Grosso;4.19;2 901 895;2 449 024;;;;;
Mato Grosso do Sul;7.93;21 322 692;19 597 330;;;;;
Minas Gerais;35.35;8 664 306;7 581 051;;;;;
Pará;6.78;4 145 040;3 766 528;;;;;
Paraíba;71.38;11 824 665;10 444 526;;;;;
Paraná;59.38;9 539 029;8 796 448;;;;;
Pernambuco;92.29;3 375 646;3 118 360;;;;;
Piauí;13;17 219 679;15 989 929;;;;;
Rio de Janeiro;379.78;3 446 071;3 168 027;;;;;
Rio Grande do Norte;62.56;11 229 915;10 693 929;;;;;
Rio Grande do Sul;39.36;1 746 227;1 562 409;;;;;
Rondônia;6.8;716 793;450 479;;;;;
Roraima;2.83;8 058 447;6 248 436;;;;;
Santa Catarina;81.03;45 973 190;41 262 199;;;;;
São Paulo;185.42;2 291 077;2 068 017;;;;;
Sergipe;100.87;1 577 342;1 383 445;;;;;
Tocantins;5.7;24; Tocantins;;;;;
