DATE;SERIES;VALUE
2021;North East;408
2022;North East;363
2021;North West;1.120
2022;North West;1.221
2021;Yorkshire and The Humber;788
2022;Yorkshire and The Humber;751
2021;East Midlands;651
2022;East Midlands;648
2021;West Midlands;747
2022;West Midlands;765
2021;East of England;1.277
2022;East of England;1.304
2021;London;2.737
2022;London;2.674
2021;South East;2.690
2022;South East;2.881
2021;South West;1.168
2022;South West;1.207
2021;England;11.586
2022;England;11.813
2021;United Kingdom;13.447
2022;United Kingdom;13.446
2021;Northern Ireland;218
2022;Northern Ireland;199
2021;Scotland;1.283
2022;Scotland;1.082
2021;Wales;361
2022;Wales;352
